Alphabet	Das Alphabet
Bracelet	Das Armband
Eye	Das Auge
Car	Das Auto
Baking Sheet	Das Backblech
Bathrobe	Das Bademantel
Station	Der Bahnof
Leg	Das Bein
Bed	Das Bett
Image	Das Bild
Traffic light	Die Ampel
Watch	Die Armbanduhr
Eyebrow	Die Augenbraue
Motorway	Die Autobahn
Swimsuit	Die Badehose
Bathtub	Die Badewanne
Building blocks	Die Bauklötze
Duvet	Die Bettdecke
Flute	Die Blockflöte
Blouse	Die Bluse
Fried Potatoes	Die Bratkartoffeln
Drain	Der Abfluss
Tow truck	Der Abschleppwagen
Anchor	Der Anker
Anorak	Der Anorak
Sharpener	Der Anspitzer
Arm	Der Arm
Oven	Der Backofen
Platform	Der Bahnsteig
Ball	Der Ball
Abdomen	Der Bauch
Sheet	Das Blatt
Board / Plank	Das Brett
Bread	Das Brot
Book	Das Buch
Cockpit	Das Cockpit
Deodorant	Das Deodorant
Shower Gel	Das Duschgel
Egg	Das Ei
Ice Cream	Das Eis
Window	Das Fenster
Fire	Das Feuer
Fire truck	Das Feuerwehrauto
Aircraft	Das Flugzeug
Photo	Das Foto
Dishes	Das Geschirr
Tea Towel	Das Geschirrtuch
Glass	Das Glas
Hair ties / Band	Das Haargummi
Hair spray	Das Haarspray
Towel	Das Handtuch
House	Das Haus
Belly	Der Bauch
Cup / Mug	Der Becher
Bikini	Der Bikini
Pencil	Der Bleistift
Roast	Der Braten
Post Box	Der Briefkasten
Letter / Alphabets	Der Buchstabe
Crayon	Der Buntstift
CD Player	Der CD Spieler
Comic	Der comic
Computer	Der Computer
Cover	Der Deckel
Shower Curtain	Der Duschvorhang
Egg cups	Der Eierbecher
Elbow	Der Ellenbogen
Paint box	Der Farbkasten
Tele Vision	Der Fernseher
felt-tip pen	Der Filzstift
Finger	Der Finger
Fish	Der Fisch
Airport	Der Flughafen
Hot Dog	Die Bratwurst
Pretzel	Die Brezel
Glasses	Die Brille
Breast / Chest	Die Brust
Butter	Die Butter
CD	Die CD
Can	Die Dose
Shower	Die Dusche
Railway	Die Eisenbahn
Remote Control	Die Fernbedienung
Heel	Die Ferse
Tiling	Die Fliesen
Lady	Die Frau
Guitar	Die Gitarre
Fork	Die Gabel
Passage	Die Gangway
Coat check	Die Garderobe
Gameboy	Der Gameboy
Freezer	Der Gefrierschrank
Sidewalk	Der Gehweg
Shirt	Das Hemd
Wood / Timber	Das Holz
Card Game	Das Kartenspiel
Chin	Das Kinn
Cushion	Das Kissen
Class Book	Das Klassenbuch
Class room	Das Klassenzimmer
Adhesive tape	Das Klebeband
Dress	Das Kleid
Knee	Das Knie
Pillow	Das Kopfkissen
Stuffed Animal	Das Kuscheltier
Ruler / Scale	Das Lineal
Hovercraft	Das Luftkissenboot
Knife	Das Messer
Power boat	Das Motorboot
Motor cycle	Das Motorrad
Nightdress	Das Nachthemd
Manicure set	Das Nageletui
Rolling pin	Das Nudelholz
Ear	Das Ohr
Sign post	Das Ortsschild
Perfume	Das Parfüm
Packed lunch	Das Pausenbrot
Police Car	Das Polizeiauto
Poster	Das Plakat / Poster
Wardrobe	Der Kleiderschrank
Button	Der Knopf
Head	Der Kopf
Corck screw	Der Korkenzieher
Ambulance	Der Krankenwagen
Cake	Der Kuchen
Pen	Der Kugelschreiber
Harbor / Port	Der Hafen
Neck	Der Hals
Hamburger	Der Hamburger
Cooker	Der Herd
Helicopter	Der Hubschrauber
Coffee	Der Kaffee
Cocoa	Der Kakao
Fireplace	Der Kamin
Comb	Der Kamm
cassette recorder	Der Kassettenrekorder
Shop	Der Kaufmannsladen
Ketchup	Der Ketschup
Adhesive	Der Klebstoff
Wellington boots	Die Gummistiefel
Hair	Die Haare
Hairclip	Die Haarspange
Necklace	Die Halskette
Stop	Die Haltestelle
Hand	Die Hand
Puppet	Die handpuppe
Gloves	Die Handschuhe
Slippers	Die Hausschuhe
Trousers	Die Hose
Jacket	Die Jacke
Jeans	Die Jeans
Coffee Machine	Die Kaffeemaschine
Jug / Pot	Die Kanne
Candle	Die Kerze
Church	Die Kirche
Chalk	Die Kreide
Cream	Die Kreme
Cake Mould	Die Kuchenform
Shorts	Die Kurze Hose
Lamp	Die Lampe
Map	Die Landkarte
Dungarees	Die Latzhose
Lego Bricks	Die Legosteine
Teacher	Die Lehrerin
Ladder	Die Leiter
Dollhouse	Das Puppenhaus
Puzzle	Das Puzzle
Radio	Das Radio
After shave	Das Rasierwasser
Bubble bath	Das Schaumbad
Ship	Das Schiff
Pajamas	Der Schlafanzug
Make up stuff	Das Schminkzeug
Cutlet / escalope	Das Schnitzel
School book	Das Schulbuch
Glider	Das Segelflugzeug
Shampoo	Das Shampoo
Sieve	Das Sieb
Sofa / couch	Das Sofa
Fried egg	Das Spiegelei
Playing board	Das Spielbrett
Toy Car	Das Spielzeugauto
Hobby horse	Das Steckenpferd
Sweatshirt	Das Sweatshirt
Tray	Das Tablett
Taxi / Cab	Das Taxi
Telephone	Das Telefon
Truck	Der Lastwagen
Lipstick	Der Lippenstift
Ballon	Der Luftballon
Man	Der Mann
Coat	Der Mantel
Sailor	Der Matrose
Microwave	Der Mikrowellenherd
Mouth	Der Mund
Earring	Der Ohrring
Omnibus / Bus	Der Omnibus
File / Binder	Der Ordner
Trash	Der Papierkorb
Parking place	Der Parkplatz
Spatula	Der Pfannenwender
Pilot	Der Pilot
Brush	Der Pinsel
Police man	Der Polizist
Pudding	Der Pudding
Pullover / Jumper	Der Pullover
Pram	Der Puppenwagen
Curd	Der Quark
Eraser	Der Radiergummi
Lip	Die Lippe
Locomotive / Engine	Die Lokomotive
Jam	Die Marmelade
Milk	Die Milch
Play marbles / Mutter	Die Murmeln
Mother	Die Mutter
Nose	Die Nase
Parking meter	Die Parkuhr
Cartridge / Shell	Die Patrone
Pan	Die Pfanne
Pizza	Die Pizza
French Fries	Die Pommes Frites
Doll	Die Puppe
Slicker / Rain coat	Die Regenjacke
Grater	Die Reibe
Advertising	Die Reklame
Sandals	Die Sandalen
Toilte Paper	Das Toilettenpapier
T Shirt	Das T Shirt
Under Shirt	Das Unterhemd
Road sign	Das Verkehrsschild
Wash basin	Das Waschbecken
Wash bag	Das Waschbeutel
Flannel	Das Waschlappen
Word	Das Wort
xylophone	Das Xylofon
Testimony / Certificate	Das Zeugnis
Shaver	Der Rasierapparat
Umbrella	Der Regenschirm
Rice	Der Reis
Ring	Der Ring
Skirt	Der Rock
Juice	Der Saft
Lettuce	Der Salat
Salt shaker	Der Salzstreuer
Conductor	Der Schaffner
Scarf / Shawl	Der Schal
Whisk	Der Schneebesen
Cabinet / Cupboard	Der Schrank
Writing desk	Der Schreibtisch
School yard	Der Schulhof
Satchel	Der Schulranzen
Sponge	Der Schwamm
Mustard	Der Senf
Armchair	Der Sessel
Seed box	Der Setzkasten
Mirror	Der Spiegel
Congestion / Stagnation	Der Stau
Chair	Der Stuhl
Soup plate	Der Suppenteller
Teddy	Der Teddy
Plate	Der Teller
Carpet / Rug	Der Teppich
Table	Der Tisch
Toast	Der Toast
Toaster	Der Toaster
Pot / Pan	Der Topf
Oven cloth	Der Topflappen
Tower	Der Tower
Track suit	Der Trainingsanzug
Father	Der Vater
Traffic	Der Verkehr
Curtain	Der Vorhang
Wax crayon	Der Wachsmalstift
Wagon	Der Wagon
Alarm Clock	Der Wecker
Tooth	Der Zahn
Dental beaker	Der Zahnputzbecher
Zebra crossing	Der Zebrastreifen
Toe	Der Zeh
Sketch pad	Der Zeichenblock
Compasses	Der Zirkel
Train	Der Zug
Scissors	Die Schere
Rails	Die Schienen
Shoes	Die Schuhe
Shoulder	Die Schulter
Soap bar	Die Seife
Napkin	Die Serviette
Socks	Die Socken
Spaghetti	Die Spaghetti
Game pieces	Die Spielsteine
Toy box	Die Spielzeugkiste
Socket	Die Steckdose
Stewardess / Hostess	Die Stewardess
Forehead	Die Stirn
Cardigan	Die Strickjacke
Pantyhose	Die Strumpfhose
Soup	Die Suppe
Soup Ladle	Die Suppenkelle
Board / Panel	Die Tafel
Petrol station	Die Tankstelle
Cup	Die Tasse
Phone booth	Die Telefonzelle
Toilet	Die Toilette
Stairs	Die Treppe
Drum	Die Trommel
Sneakers	Die Turnschuhe
Subway	Die UBahn
Under pants	Die Unterhose
Saucer	Die Untertasse
Vase	Die Vase
Weigh scale / Libra	Die Waage
Wall	Die Wand
Cheek	Die Wange
Washing machine	Die Waschmaschine
Cotton	Die Watte
Sausage	Die Wurst
Number	Die Zahl
Tooth paste	Die Zahnpasta
Drawing	Die Zeichnung
Newspaper	Die Zeitung
Lemon Presse	Die Zitronenpresse
Sugan bowl	Die Zuckerdose
Tongue	Die Zunge
Tongs	Die Zange
Diapers	Die Windeln
Week	Die Woche
Cloud	Die Wolke
Goat	Die Ziege
Farm house	Das Bauernhaus
Roof	Das Dach
Village	Das Dorf
Anthill	Der Ameisenhaufen
Field	Das Feld
Piglet	Das Ferkel
Foal	Das Fohlen
Cereals	Das Getreide
Grass	Das Gras
Chicken	Das Huhn
Calf / Fawn	Das Kalb
Camel	Das Kamel
Monkey	Der Affe
Rabbit	Das Kaninchen
Crocodile	Das Krokodil
Apple Juice	Der Apfelsaft
Lamb	Das Lamm
Branch	Der Ast
Sea	Das Meer
Flour	Das mehl
Moos	Das Moos
Rhino	Das Nashorn
Hippo	Das Nilpferd
Farmer	Der Bauer
Horse / Knight	Das Pferd
Pony	Das Pony
Deer	Das Reh
Salt	Das Salz
Sheep	Das Schaf
Pig	Das Schwein
Valley	Das Tal
Thermometer	Das Thermometer
Washing Powder	Das Waschpulver
Weather	Das Wetter
Wild Boar	Das Wildschwein
Fence	Der Zaun
Zebra	Das Zebra
Tent	Das Zelt
Dial / clock face	Das Ziffernblatt
Tiger	Der Tiger
Tractor	Der Traktor
Plough	Der Pflug
Turkey	Der Truthahn
Bird	Der Vogel
Path / Way	Der Weg
Signpost / Guidepost	Der Wegweiser
Wind	Der Wind
Spigot / cone	Der Zapfen
Sugar	Der Zucker
Tree	Der Baum
Mole	Der Maulwurf
Manure heap	Der Misthaufen
Fog	Der Nebel
Orange juice	Der Orangensaft
Mountain	Der Berg
Lightning	Der Blitz
Duck	Die Ente
Owl	Die Eule
Family	Die Familie
Bottle	Die Flasche
Feed manager	Die Futterkrippe
Goose	Die Gans
Giraffe	Die Giraffe
Oat meal	Die Haferflocken
Heat	Die Hitze
Parrot	Der Papagei
Peacock	Der Pfau
Penguin	Der Pinguin
Rain	Der Regen
Rainbow	Der Regenbogen
Scare crow	Die Vogelscheuche
Hiker	Die Wanderer
Pasture	Die Weide
Ant	Die Ameise
Axe	Die Axt
Flowers	Die Blumen
Sweets	Die Bonbons
Cornflakes	Die Cornflakes
Acorn	Die Eichel
Lizard	Die Eidechse
Cash register	Die Kasse
Chest nut (Marone)	Die Kastanie
Cat	Die Katze
Thunder	Der Donner
Kite (Dragon)	Der Drachen
Entrance	Der Eingang
Shopping trolley	Der Einkaufswagen
Shopping list	Der Einkaufszettel
Cookies	Die Kekse
Elephant	Der Elefant
Ass / donkey	Der Esel
Vinegar	Der Essig
February	Der Februar
River (flow)	Der Fluss
Frog	Der Frosch
Frost	Der Frost
Fox	Der Fuchs
Garden	Der Garten
Gorilla	Der Gorilla
Cow	Die Kuh
Hailstrom / Shower	Der Hagel
Cock / Rooster	Der Hahn
Shark	Der Hai
Rabbit / bunny	Der Hase
Autumn	Der Herbst
Sky (heaven)	Der Himmel
Customer	Die Kundin
Dog	Der Hund
Hedgehog	Der Igel
Margarine	Die Margarine
Yogurt	Der Jogurt
Boy	Der Junge
Mouse	Die Maus
Cage	Der Käfig
Rabbit hutch	Der Kaninchenstall
Bubble gum	Der Kaugummi
Small hand	Der Kleine zeiger
Noodles	Die Nudeln
Lollipop	Der Lutscher
Mushrooms	Die Pilze
Evaporate cream	Die Sahne
Barn	Die Scheune
Snake	Die Schlange
Chocolate	Die Schokolade
Wheel barrow	Die Schubkarre
Scythe	Die Sense
Sun	Die Sonne
Spider	Die Spinne
Straw bales	Die Strohballen
Pocket	Die Tasche
Clock	Die Uhrzeit
Snow	Der Schnee
Swan	Der Schwan
Lake	Der See
Seal	Der Seehund
Second hand	Der Sekundenzeiger
Stable	Der Stall
Stem	Der Stamm
Stone	Der Stein
Bull / Taurus	Der Stier
Beach	Der Strand
meadow / lawn / pasture	Die Wiese
Roebuck	Der Rehbock
Meat	Das Fleisch
House hold items	Die Haushaltsartikel
Fruits and vegetables	Das Obst und Gemüse
Detergent / Cleaning agent	Das Reinigungsmittel
Pet nutrition	Die Tiernahrung
Magazines	Die Zeitschriften
